"","X","age_group","lower.Q1","Incidence","upper.Q3","Gender","Year","Calibration"
"174",6,"45-49",0,0.00104805804784049,0.00275661346406166,"men","2017","Combined"
"175",7,"15-24",0.00325488390686865,0.00801779251380033,0.0110976981867187,"women","2017","Combined"
"176",8,"25-29",0,0.00104040408164709,0,"women","2017","Combined"
"177",9,"30-34",0,0.000277206588945452,0,"women","2017","Combined"
"178",10,"35-39",0,0.000171087852080736,0,"women","2017","Combined"
"179",11,"40-44",0,6.58706507732622e-05,0,"women","2017","Combined"
"180",12,"45-49",0,3.60282989347758e-05,0,"women","2017","Combined"
"181",1,"15-24",0,0.00302794498794006,0.00445203759159271,"men","2013","Benchmark"
"182",2,"25-29",0,0.00692518572839947,0.0100915376370726,"men","2013","Benchmark"
"183",3,"30-34",0,0.00874815414285315,0.0141390791569276,"men","2013","Benchmark"
"184",4,"35-39",0.00335750877101175,0.00795229944138495,0.0106812767390162,"men","2013","Benchmark"
"185",5,"40-44",0.00258090989196875,0.00472533212322173,0.00599964315406518,"men","2013","Benchmark"
"186",6,"45-49",0,0.00219582503997461,0.00290266278952912,"men","2013","Benchmark"
"187",7,"15-24",0.00697918196878262,0.0116864607419732,0.0153891143552359,"women","2013","Benchmark"
"188",8,"25-29",0,0.00364635468267276,0.0056063364173774,"women","2013","Benchmark"
"189",9,"30-34",0,0.00179740315085579,0,"women","2013","Benchmark"
"190",10,"35-39",0,0.000772978531747733,0,"women","2013","Benchmark"
"191",11,"40-44",0,0.000508371172497601,0,"women","2013","Benchmark"
"192",12,"45-49",0,0.000276545275641631,0,"women","2013","Benchmark"
"193",1,"15-24",0,0.00288917403998375,0.00446722090391694,"men","2014","Benchmark"
"194",2,"25-29",0,0.00579954213814352,0.00953626535406974,"men","2014","Benchmark"
"195",3,"30-34",0,0.00806492742915384,0.0124591055409379,"men","2014","Benchmark"
"196",4,"35-39",0,0.00605924366407791,0.0089741881927142,"men","2014","Benchmark"
"197",5,"40-44",0,0.00369398135602167,0.00558544178413682,"men","2014","Benchmark"
"198",6,"45-49",0,0.00169942628745426,0.0028168701823,"men","2014","Benchmark"
"199",7,"15-24",0.0051021878150359,0.00999867647859669,0.0130941146035215,"women","2014","Benchmark"
"200",8,"25-29",0,0.00274671958297302,0.00515091755074411,"women","2014","Benchmark"
"201",9,"30-34",0,0.00123367049023111,0,"women","2014","Benchmark"
"202",10,"35-39",0,0.000653770113670252,0,"women","2014","Benchmark"
"203",11,"40-44",0,0.000375798853009648,0,"women","2014","Benchmark"
"204",12,"45-49",0,0.000242110892754078,0,"women","2014","Benchmark"
"205",1,"15-24",0,0.0024827832146049,0.00431601690896256,"men","2015","Benchmark"
"206",2,"25-29",0,0.00486248652162112,0.00853565332680835,"men","2015","Benchmark"
"207",3,"30-34",0,0.00730042813903058,0.0115019948982195,"men","2015","Benchmark"
"208",4,"35-39",0,0.00592267193910755,0.0102556081951639,"men","2015","Benchmark"
"209",5,"40-44",0,0.00349666451054921,0.00551955700833467,"men","2015","Benchmark"
"210",6,"45-49",0,0.00129758951461841,0.00271946095068264,"men","2015","Benchmark"
"211",7,"15-24",0.00472751863351364,0.00888082169765131,0.0125005603964879,"women","2015","Benchmark"
"212",8,"25-29",0,0.00183501381943368,0.00443326815968674,"women","2015","Benchmark"
"213",9,"30-34",0,0.000919741095897866,0,"women","2015","Benchmark"
"214",10,"35-39",0,0.000345756224264218,0,"women","2015","Benchmark"
"215",11,"40-44",0,0.000251950714679541,0,"women","2015","Benchmark"
"216",12,"45-49",0,0.000159696031726929,0,"women","2015","Benchmark"
"217",1,"15-24",0,0.00231270116245963,0.00386958704281061,"men","2016","Benchmark"
"218",2,"25-29",0,0.00482724214895526,0.00842716076495329,"men","2016","Benchmark"
"219",3,"30-34",0,0.00632984018905034,0.0104676605626468,"men","2016","Benchmark"
